"city_code";"city_name"
"1101";KABUPATEN ACEH SELATAN
"1102";KABUPATEN ACEH TENGGARA
"1103";KABUPATEN ACEH TIMUR
"1104";KABUPATEN ACEH TENGAH
"1105";KABUPATEN ACEH BARAT
"1106";KABUPATEN ACEH BESAR
"1107";KABUPATEN PIDIE
"1108";KABUPATEN ACEH UTARA
"1109";KABUPATEN SIMEULUE
"1110";KABUPATEN ACEH SINGKIL
"1111";KABUPATEN BIREUEN
"1112";KABUPATEN ACEH BARAT DAYA
"1113";KABUPATEN GAYO LUES
"1114";KABUPATEN ACEH JAYA
"1115";KABUPATEN NAGAN RAYA
"1116";KABUPATEN ACEH TAMIANG
"1117";KABUPATEN BENER MERIAH
"1118";KABUPATEN PIDIE JAYA
"1171";KOTA BANDA ACEH
"1172";KOTA SABANG
"1173";KOTA LHOKSEUMAWE
"1174";KOTA LANGSA
"1175";KOTA SUBULUSSALAM
"1201";KABUPATEN TAPANULI TENGAH
"1202";KABUPATEN TAPANULI UTARA
"1203";KABUPATEN TAPANULI SELATAN
"1204";KABUPATEN NIAS
"1205";KABUPATEN LANGKAT
"1206";KABUPATEN KARO
"1207";KABUPATEN DELI SERDANG
"1208";KABUPATEN SIMALUNGUN
"1209";KABUPATEN ASAHAN
"1210";KABUPATEN LABUHANBATU
"1211";KABUPATEN DAIRI
"1212";KABUPATEN TOBA SAMOSIR
"1213";KABUPATEN MANDAILING NATAL
"1214";KABUPATEN NIAS SELATAN
"1215";KABUPATEN PAKPAK BHARAT
"1216";KABUPATEN HUMBANG HASUNDUTAN
"1217";KABUPATEN SAMOSIR
"1218";KABUPATEN SERDANG BEDAGAI
"1219";KABUPATEN BATU BARA
"1220";KABUPATEN PADANG LAWAS UTARA
"1221";KABUPATEN PADANG LAWAS
"1222";KABUPATEN LABUHANBATU SELATAN
"1223";KABUPATEN LABUHANBATU UTARA
"1224";KABUPATEN NIAS UTARA
"1225";KABUPATEN NIAS BARAT
"1271";KOTA MEDAN
"1272";KOTA PEMATANGSIANTAR
"1273";KOTA SIBOLGA
"1274";KOTA TANJUNG BALAI
"1275";KOTA BINJAI
"1276";KOTA TEBING TINGGI
"1277";KOTA PADANGSIDIMPUAN
"1278";KOTA GUNUNGSITOLI
"1301";KABUPATEN PESISIR SELATAN
"1302";KABUPATEN SOLOK
"1303";KABUPATEN SIJUNJUNG
"1304";KABUPATEN TANAH DATAR
"1305";KABUPATEN PADANG PARIAMAN
"1306";KABUPATEN AGAM
"1307";KABUPATEN LIMA PULUH KOTA
"1308";KABUPATEN PASAMAN
"1309";KABUPATEN KEPULAUAN MENTAWAI
"1310";KABUPATEN DHARMASRAYA
"1311";KABUPATEN SOLOK SELATAN
"1312";KABUPATEN PASAMAN BARAT
"1371";KOTA PADANG
"1372";KOTA SOLOK
"1373";KOTA SAWAHLUNTO
"1374";KOTA PADANG PANJANG
"1375";KOTA BUKITTINGGI
"1376";KOTA PAYAKUMBUH
"1377";KOTA PARIAMAN
"1401";KABUPATEN KAMPAR
"1402";KABUPATEN INDRAGIRI HULU
"1403";KABUPATEN BENGKALIS
"1404";KABUPATEN INDRAGIRI HILIR
"1405";KABUPATEN PELALAWAN
"1406";KABUPATEN ROKAN HULU
"1407";KABUPATEN ROKAN HILIR
"1408";KABUPATEN SIAK
"1409";KABUPATEN KUANTAN SINGINGI
"1410";KABUPATEN KEPULAUAN MERANTI
"1471";KOTA PEKANBARU
"1472";KOTA DUMAI
"1501";KABUPATEN KERINCI
